id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31461983,Cozy Room for 2 in Central Munich,235687902,Johannes,,Schwabing-West,48.16668,11.56451,Private room,44,1,115,2022-05-15,2.39,1,0,5,
32636828,CASA Mozart am Goetheplatz,12137108,Stella & Martin,,Ludwigsvorstadt-Isarvorstadt,48.12931,11.55832,Entire home/apt,85,2,76,2022-11-27,1.64,1,126,16,
31480352,tiny house - Gartenhaus,39126082,Dagmar,,Pasing-Obermenzing,48.13664,11.46125,Entire home/apt,92,1,21,2022-11-13,1.27,1,218,18,
29654064,Wonderful central 2 Rooms apartment with Balcony,96533979,Minny,,Bogenhausen,48.14584,11.6173,Entire home/apt,300,2,6,2019-10-06,0.12,1,89,0,
32649828,Chill's,21958507,Momchil,,Schwanthalerhöhe,48.13638,11.54606,Private room,51,1,13,2022-10-02,0.29,1,0,8,
29692694,Big beautiful room in the heart of  Munich_WESTEND,120823314,Jennifer,,Schwanthalerhöhe,48.13704,11.54358,Private room,63,2,68,2022-10-30,1.35,1,50,20,
33412699,Moderne stilvolle Wohnung im Herzen Münchens,251707687,Anton,,Maxvorstadt,48.14745,11.57503,Entire home/apt,271,5,101,2022-12-17,2.23,2,347,32,
31486811,Serviced Apartment- Studio in Munich,113216159,SMARTments,,Schwabing-Freimann,48.17755,11.5952,Entire home/apt,103,1,388,2022-12-19,8.75,5,315,98,
32662478,"Luxury apartment (modern,bright,renovated,quiet)",99385901,Hano,,Sendling-Westpark,48.11272,11.52381,Entire home/apt,70,7,1,2019-04-13,0.02,1,56,0,
31492162,"Große, gemütliche Wohnung im Osten von München.",106940799,Nicky,,Berg am Laim,48.12916,11.64434,Entire home/apt,37,2,4,2022-08-21,0.09,1,0,3,
33438176,BEAUTIFUL APARTMENT WITH ALPINE VIEW,251908862,Walter,,Obergiesing,48.11228,11.59467,Entire home/apt,108,2,11,2020-01-26,0.24,1,0,0,
33439780,Stylisch eingerichtete Wohnung mitten in München,251707687,Anton,,Maxvorstadt,48.14546,11.57589,Entire home/apt,153,5,103,2022-12-15,2.28,2,292,29,
32692195,Gemütliches Zimmer mit eigenem WC in WG,6966854,Selda,,Sendling-Westpark,48.11443,11.52638,Private room,68,3,11,2022-12-04,0.24,1,119,4,
33444225,CHILD FRIENDLY APARTMENT IN THE HEART OF MUNICH,251952159,Christoph,,Au-Haidhausen,48.1285,11.60187,Entire home/apt,240,5,0,,,1,0,0,
33447642,LIVE AND STAY IN THE HEART OF MUNICH,251980020,Philipp,,Sendling,48.11202,11.55307,Entire home/apt,119,2,1,2019-04-23,0.02,1,0,0,
33460440,"Zentrale Altbauwohnung (3 Zimmer, 2.Stock)",13477577,Gyöngyi,,Au-Haidhausen,48.12735,11.58409,Entire home/apt,285,2,45,2022-12-04,1.00,1,0,23,
31504857,Ruhige gemütliche Wohnung München Laim,129456565,Matthias,,Laim,48.12753,11.50266,Entire home/apt,105,10,0,,,1,363,0,
31512764,Clean and Stylishly Furnished Flat next to Park,23344628,Maximilian,,Schwabing-West,48.17103,11.5651,Entire home/apt,89,5,13,2022-09-29,0.29,1,4,5,
